ticket_id,customer_id,created_datetime,assigned_datetime,resolved_datetime,region,team,agent_id,shift,priority,issue_type,channel,sla_hours,first_response_hours,resolution_hours,sla_breach (Yes/No),breach_hours,escalated,reopened,status,backlog_flag,root_cause,bottleneck_stage,customer_satisfaction_score
T0256,C1990,19-03-2025 10:58,19-03-2025 11:35,,East,Account Ops,A101,Morning,Medium,Order Delay,Email,24,0.62,,,,No,No,Pending,Yes,Approval Dependency,Approval,
T0257,C1722,03-04-2025 10:13,03-04-2025 12:46,04-04-2025 00:46,South,Account Ops,A116,Morning,High,Subscription Change,Chat,8,2.56,14.56,Yes,6.56,Yes,No,Resolved,No,Technical Dependency,Escalation,4
T0258,C1598,29-03-2025 08:06,29-03-2025 10:04,30-03-2025 20:20,Central,Billing Ops,A121,Morning,Medium,Refund Request,Chat,24,1.98,36.24,Yes,12.24,No,No,Resolved,No,Agent Capacity Constraint,Resolution,4
T0259,C1122,02-01-2025 08:53,02-01-2025 11:47,04-01-2025 14:59,South,Escalations,A112,Morning,Medium,Order Delay,Chat,24,2.9,54.11,Yes,30.11,Yes,Yes,Resolved,No,Incomplete Customer Information,Customer Response,3
T0260,C1799,31-03-2025 10:16,31-03-2025 11:35,31-03-2025 19:19,West,L1 Support,A112,Morning,Critical,Technical Bug,Chat,4,1.33,9.05,Yes,5.05,No,No,Resolved,No,Incomplete Customer Information,Customer Response,4
T0261,C1745,09-01-2025 15:59,09-01-2025 16:49,10-01-2025 06:13,West,Account Ops,A117,Afternoon,Critical,Order Delay,Phone,4,0.84,14.24,Yes,10.24,Yes,No,Resolved,No,Agent Capacity Constraint,Resolution,4
T0262,C1837,12-02-2025 14:36,12-02-2025 16:46,,West,L1 Support,A118,Afternoon,High,Technical Bug,Email,8,2.18,,,,No,Yes,Pending,Yes,Agent Capacity Constraint,Resolution,
T0263,C1109,20-04-2025 13:05,20-04-2025 15:59,22-04-2025 05:35,Central,Billing Ops,A106,Morning,Low,Payment Failure,Portal,48,2.91,40.51,No,0,No,No,Resolved,No,No Major Delay,None,5
T0264,C1057,04-01-2025 17:15,04-01-2025 17:37,05-01-2025 07:28,North,Billing Ops,A109,Afternoon,Medium,Account Update,Chat,24,0.38,14.22,No,0,No,No,Resolved,No,No Major Delay,None,5
T0265,C1174,16-03-2025 11:59,16-03-2025 15:43,17-03-2025 10:36,West,Escalations,A135,Morning,High,Order Delay,Email,8,3.74,22.63,Yes,14.63,Yes,Yes,Resolved,No,Incomplete Customer Information,Customer Response,3
T0266,C1064,14-04-2025 14:20,14-04-2025 16:58,15-04-2025 14:50,North,Technical Ops,A113,Afternoon,Low,Login/Access,Email,48,2.64,24.51,No,0,No,No,Resolved,No,Agent Capacity Constraint,Resolution,5
T0267,C1211,12-04-2025 17:24,12-04-2025 17:38,13-04-2025 02:43,West,Billing Ops,A103,Afternoon,High,Payment Failure,Email,8,0.24,9.33,Yes,1.33,No,No,Resolved,No,Technical Dependency,Escalation,4
T0268,C1475,20-03-2025 09:40,20-03-2025 10:42,21-03-2025 07:31,West,Account Ops,A112,Morning,High,Refund Request,Phone,8,1.04,21.85,Yes,13.85,No,No,Resolved,No,Approval Dependency,Approval,3
T0269,C1180,21-01-2025 08:03,21-01-2025 09:18,22-01-2025 07:48,East,L1 Support,A131,Morning,Low,Data Correction,Email,48,1.25,23.75,No,0,No,Yes,Closed,No,No Major Delay,None,4
T0270,C1496,06-04-2025 13:14,06-04-2025 14:20,06-04-2025 16:46,Central,L1 Support,A121,Morning,High,Login/Access,Email,8,1.11,3.54,No,0,No,No,Resolved,No,No Major Delay,None,5
T0271,C1808,03-04-2025 11:40,03-04-2025 13:02,04-04-2025 02:04,South,Escalations,A124,Morning,Critical,Account Update,Portal,4,1.38,14.41,Yes,10.41,Yes,No,Resolved,No,High Complexity,Diagnosis,3
T0272,C1919,28-01-2025 17:30,28-01-2025 18:43,31-01-2025 15:42,South,Billing Ops,A134,Afternoon,Low,Subscription Change,Phone,48,1.23,70.2,Yes,22.2,Yes,No,Closed,No,Approval Dependency,Approval,3
T0273,C1092,14-04-2025 09:28,14-04-2025 09:44,14-04-2025 12:38,North,Billing Ops,A134,Morning,Critical,Subscription Change,Portal,4,0.28,3.18,No,0,No,No,Resolved,No,No Major Delay,None,5
T0274,C1276,18-01-2025 14:11,18-01-2025 14:59,19-01-2025 00:36,South,Technical Ops,A130,Afternoon,Critical,Data Correction,Chat,4,0.8,10.42,Yes,6.42,Yes,No,Resolved,No,Agent Capacity Constraint,Resolution,3
T0275,C1726,08-01-2025 16:58,08-01-2025 19:39,09-01-2025 04:29,Central,L1 Support,A122,Afternoon,Medium,Technical Bug,Chat,24,2.69,11.52,No,0,No,No,Resolved,No,No Major Delay,None,5
T0276,C1125,08-04-2025 11:20,08-04-2025 12:31,09-04-2025 15:17,East,Account Ops,A114,Morning,Low,Payment Failure,Email,48,1.19,27.95,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0277,C1426,24-04-2025 15:05,24-04-2025 17:47,26-04-2025 14:17,Central,L1 Support,A105,Afternoon,Medium,Technical Bug,Chat,24,2.71,47.2,Yes,23.2,No,No,Resolved,No,Technical Dependency,Escalation,3
T0278,C1919,13-04-2025 11:53,13-04-2025 14:23,15-04-2025 22:15,South,Technical Ops,A105,Morning,Low,Technical Bug,Phone,48,2.51,58.37,Yes,10.37,No,No,Resolved,No,Technical Dependency,Escalation,4
T0279,C1119,06-02-2025 15:10,06-02-2025 15:58,07-02-2025 15:22,East,Account Ops,A104,Afternoon,Low,Payment Failure,Email,48,0.81,24.21,No,0,No,No,Resolved,No,No Major Delay,None,5
T0280,C1993,14-02-2025 10:23,14-02-2025 12:17,14-02-2025 16:38,South,Account Ops,A103,Morning,Critical,Refund Request,Phone,4,1.91,6.25,Yes,2.25,No,No,Resolved,No,Incorrect Routing,Routing,4
T0281,C1656,04-04-2025 15:21,04-04-2025 19:54,06-04-2025 00:50,East,Escalations,A110,Afternoon,Medium,Subscription Change,Chat,24,4.55,33.49,Yes,9.49,Yes,No,Resolved,No,Technical Dependency,Escalation,2
T0282,C1315,20-02-2025 11:31,20-02-2025 13:24,21-02-2025 09:12,East,L1 Support,A106,Morning,High,Technical Bug,Email,8,1.89,21.69,Yes,13.69,No,No,Resolved,No,Agent Capacity Constraint,Resolution,4
T0283,C1419,04-04-2025 14:46,04-04-2025 15:30,06-04-2025 19:35,North,Account Ops,A119,Afternoon,Low,Order Delay,Email,48,0.74,52.83,Yes,4.83,No,Yes,Resolved,No,Incorrect Routing,Routing,3
T0284,C1914,04-03-2025 08:52,04-03-2025 11:24,06-03-2025 01:16,South,Billing Ops,A125,Morning,Medium,Refund Request,Phone,24,2.54,40.4,Yes,16.4,Yes,No,Resolved,No,High Complexity,Diagnosis,4
T0285,C1472,16-02-2025 17:30,16-02-2025 21:53,17-02-2025 15:27,South,Escalations,A105,Afternoon,High,Payment Failure,Email,8,4.39,21.95,Yes,13.95,Yes,No,Resolved,No,High Complexity,Diagnosis,3
T0286,C1819,30-04-2025 09:32,30-04-2025 11:59,01-05-2025 17:48,South,Billing Ops,A119,Morning,Low,Payment Failure,Email,48,2.45,32.28,No,0,Yes,No,Closed,No,No Major Delay,None,5
T0287,C1719,10-04-2025 15:26,10-04-2025 18:11,11-04-2025 12:21,East,Technical Ops,A134,Afternoon,High,Data Correction,Email,8,2.75,20.92,Yes,12.92,No,No,Resolved,No,Technical Dependency,Escalation,3
T0288,C1214,30-03-2025 13:08,30-03-2025 18:36,02-04-2025 12:11,West,Escalations,A131,Morning,Low,Login/Access,Portal,48,5.48,71.05,Yes,23.05,Yes,No,Resolved,No,Approval Dependency,Approval,3
T0289,C1922,26-03-2025 16:37,26-03-2025 17:08,26-03-2025 21:35,North,Technical Ops,A107,Afternoon,High,Login/Access,Email,8,0.53,4.97,No,0,No,No,Resolved,No,No Major Delay,None,5
T0290,C1101,20-04-2025 16:49,20-04-2025 19:20,,North,Escalations,A123,Afternoon,High,Data Correction,Email,8,2.52,,,,Yes,No,Pending,Yes,Approval Dependency,Approval,
T0291,C1041,15-02-2025 14:27,15-02-2025 15:30,17-02-2025 04:01,West,Account Ops,A107,Afternoon,Low,Subscription Change,Phone,48,1.05,37.58,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0292,C1087,22-02-2025 12:54,22-02-2025 14:35,23-02-2025 09:25,West,L1 Support,A129,Morning,Critical,Technical Bug,Email,4,1.69,20.53,Yes,16.53,No,No,Resolved,No,Agent Capacity Constraint,Resolution,3
T0293,C1279,26-01-2025 13:12,26-01-2025 16:10,26-01-2025 18:42,Central,Billing Ops,A105,Morning,High,Account Update,Portal,8,2.97,5.51,No,0,No,No,Resolved,No,No Major Delay,None,5
T0294,C1619,09-04-2025 15:06,09-04-2025 17:03,10-04-2025 14:09,West,Account Ops,A133,Afternoon,Low,Order Delay,Phone,48,1.96,23.05,No,0,No,No,Resolved,No,Delayed Assignment,Assignment,5
T0295,C1385,26-03-2025 15:31,26-03-2025 17:14,28-03-2025 16:47,Central,Account Ops,A130,Afternoon,Medium,Payment Failure,Chat,24,1.72,49.28,Yes,25.28,No,No,Resolved,No,Delayed Assignment,Assignment,4
T0296,C1057,18-01-2025 12:45,18-01-2025 16:43,19-01-2025 08:29,South,Escalations,A111,Morning,Medium,Login/Access,Phone,24,3.98,19.74,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0297,C1663,17-01-2025 13:22,17-01-2025 15:12,19-01-2025 06:01,West,Technical Ops,A102,Morning,Medium,Technical Bug,Chat,24,1.84,40.65,Yes,16.65,No,No,Resolved,No,Delayed Assignment,Assignment,4
T0298,C1691,26-03-2025 14:36,26-03-2025 15:58,27-03-2025 03:09,North,Technical Ops,A121,Afternoon,High,Login/Access,Chat,8,1.38,12.55,Yes,4.55,No,No,Resolved,No,Delayed Assignment,Assignment,4
T0299,C1068,10-03-2025 11:18,10-03-2025 12:19,11-03-2025 01:17,East,Technical Ops,A105,Morning,High,Technical Bug,Email,8,1.03,13.99,Yes,5.99,No,No,Resolved,No,Technical Dependency,Escalation,3
T0300,C1511,11-03-2025 13:12,11-03-2025 14:06,12-03-2025 08:20,West,Technical Ops,A120,Morning,Medium,Technical Bug,Email,24,0.9,19.14,No,0,No,No,Resolved,No,No Major Delay,None,5
T0301,C1273,04-04-2025 08:33,04-04-2025 11:01,04-04-2025 22:54,West,Escalations,A128,Morning,High,Subscription Change,Email,8,2.48,14.36,Yes,6.36,Yes,No,Closed,No,Approval Dependency,Approval,4
T0302,C1659,13-04-2025 12:29,13-04-2025 16:12,14-04-2025 20:49,East,Technical Ops,A113,Morning,Low,Data Correction,Chat,48,3.72,32.34,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0303,C1955,26-04-2025 14:57,26-04-2025 17:30,26-04-2025 22:47,West,Billing Ops,A120,Afternoon,Low,Subscription Change,Chat,48,2.55,7.84,No,0,No,No,Resolved,No,High Complexity,Diagnosis,5
T0304,C1716,16-01-2025 13:21,16-01-2025 15:36,17-01-2025 20:24,Central,Technical Ops,A106,Morning,High,Data Correction,Portal,8,2.26,31.06,Yes,23.06,Yes,No,Resolved,No,Approval Dependency,Approval,3
T0305,C1259,02-04-2025 13:52,02-04-2025 19:16,03-04-2025 04:58,West,Escalations,A110,Morning,Low,Refund Request,Phone,48,5.4,15.1,No,0,Yes,Yes,Resolved,No,No Major Delay,None,3
T0306,C1280,27-04-2025 14:59,27-04-2025 16:35,29-04-2025 00:59,East,Escalations,A129,Afternoon,Medium,Refund Request,Portal,24,1.6,34,Yes,10,Yes,No,Closed,No,Incomplete Customer Information,Customer Response,2
T0307,C1656,31-03-2025 12:32,31-03-2025 16:42,02-04-2025 01:25,West,Escalations,A107,Morning,Low,Order Delay,Phone,48,4.17,36.89,No,0,Yes,No,Resolved,No,No Major Delay,None,4
T0308,C1335,09-04-2025 10:54,09-04-2025 12:15,09-04-2025 18:22,East,Billing Ops,A116,Morning,High,Account Update,Email,8,1.35,7.48,No,0,No,No,Resolved,No,No Major Delay,None,5
T0309,C1120,03-01-2025 16:41,03-01-2025 18:35,06-01-2025 23:42,West,Escalations,A115,Afternoon,Low,Payment Failure,Phone,48,1.9,79.02,Yes,31.02,Yes,No,Closed,No,Delayed Assignment,Assignment,4
T0310,C1999,15-04-2025 12:18,15-04-2025 13:07,16-04-2025 00:12,West,L1 Support,A113,Morning,Critical,Technical Bug,Chat,4,0.83,11.9,Yes,7.9,No,Yes,Resolved,No,Delayed Assignment,Assignment,3
T0311,C1516,11-02-2025 14:43,11-02-2025 15:59,12-02-2025 03:59,South,Technical Ops,A131,Afternoon,High,Technical Bug,Phone,8,1.27,13.28,Yes,5.28,Yes,No,Resolved,No,Technical Dependency,Escalation,4
T0312,C1996,06-03-2025 15:59,06-03-2025 17:29,07-03-2025 01:35,West,Billing Ops,A112,Afternoon,Medium,Refund Request,Chat,24,1.51,9.6,No,0,No,No,Resolved,No,No Major Delay,None,5
T0313,C1187,25-02-2025 10:20,25-02-2025 12:18,27-02-2025 07:20,West,Account Ops,A117,Morning,Low,Order Delay,Email,48,1.97,45,No,0,No,No,Resolved,No,No Major Delay,None,5
T0314,C1576,13-03-2025 15:29,13-03-2025 17:09,13-03-2025 22:09,West,Billing Ops,A123,Afternoon,Critical,Refund Request,Phone,4,1.67,6.68,Yes,2.68,No,No,Closed,No,Delayed Assignment,Assignment,3
T0315,C1724,05-03-2025 09:56,05-03-2025 11:10,07-03-2025 06:44,Central,Technical Ops,A105,Morning,Low,Technical Bug,Portal,48,1.24,44.8,No,0,Yes,No,Resolved,No,Delayed Assignment,Assignment,5
T0316,C1872,04-04-2025 17:08,04-04-2025 17:28,06-04-2025 20:51,East,L1 Support,A129,Afternoon,Medium,Technical Bug,Phone,24,0.34,51.72,Yes,27.72,No,No,Resolved,No,Delayed Assignment,Assignment,4
T0317,C1614,13-04-2025 14:47,13-04-2025 15:51,14-04-2025 05:01,West,Billing Ops,A108,Afternoon,High,Account Update,Email,8,1.07,14.24,Yes,6.24,No,No,Resolved,No,Approval Dependency,Approval,4
T0318,C1307,01-03-2025 11:41,01-03-2025 12:18,03-03-2025 05:35,East,L1 Support,A133,Morning,Medium,Order Delay,Chat,24,0.63,41.91,Yes,17.91,No,No,Resolved,No,Delayed Assignment,Assignment,4
T0319,C1863,13-01-2025 15:42,13-01-2025 18:47,14-01-2025 16:24,East,Technical Ops,A133,Afternoon,Low,Technical Bug,Phone,48,3.09,24.71,No,0,Yes,No,Closed,No,No Major Delay,None,5
T0320,C1889,28-04-2025 10:13,28-04-2025 12:30,30-04-2025 04:40,East,L1 Support,A117,Morning,Medium,Login/Access,Email,24,2.29,42.46,Yes,18.46,Yes,Yes,Resolved,No,Delayed Assignment,Assignment,2
T0321,C1641,12-01-2025 10:08,12-01-2025 10:38,12-01-2025 22:41,West,L1 Support,A126,Morning,Medium,Order Delay,Email,24,0.51,12.55,No,0,No,No,Resolved,No,No Major Delay,None,5
T0322,C1425,20-01-2025 15:31,20-01-2025 18:46,22-01-2025 01:32,North,Technical Ops,A108,Afternoon,Low,Technical Bug,Email,48,3.26,34.02,No,0,Yes,Yes,Resolved,No,No Major Delay,None,4
T0323,C1961,03-04-2025 17:59,03-04-2025 22:56,06-04-2025 11:56,Central,Escalations,A132,Afternoon,Low,Order Delay,Chat,48,4.95,65.96,Yes,17.96,Yes,No,Resolved,No,Technical Dependency,Escalation,3
T0324,C1368,29-01-2025 17:58,29-01-2025 20:44,31-01-2025 00:29,West,Technical Ops,A129,Afternoon,Medium,Technical Bug,Email,24,2.78,30.52,Yes,6.52,No,No,Resolved,No,Technical Dependency,Escalation,3
T0325,C1915,21-01-2025 17:31,21-01-2025 22:20,22-01-2025 18:24,South,Escalations,A109,Afternoon,Low,Order Delay,Chat,48,4.82,24.89,No,0,Yes,No,Closed,No,No Major Delay,None,4
T0326,C1800,13-02-2025 13:49,13-02-2025 17:30,,East,Escalations,A132,Morning,Medium,Order Delay,Phone,24,3.69,,,,Yes,No,Pending,Yes,Technical Dependency,Escalation,
T0327,C1206,27-04-2025 13:10,27-04-2025 15:20,28-04-2025 12:26,North,L1 Support,A108,Morning,Medium,Order Delay,Chat,24,2.18,23.27,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0328,C1439,11-01-2025 12:23,11-01-2025 13:44,12-01-2025 02:34,North,Technical Ops,A119,Morning,Medium,Account Update,Email,24,1.36,14.19,No,0,No,No,Resolved,No,No Major Delay,None,5
T0329,C1656,09-04-2025 08:45,09-04-2025 11:35,10-04-2025 05:10,West,Technical Ops,A102,Morning,Medium,Account Update,Portal,24,2.84,20.43,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0330,C1902,02-01-2025 12:57,02-01-2025 17:37,03-01-2025 06:30,Central,Escalations,A121,Morning,High,Technical Bug,Portal,8,4.68,17.55,Yes,9.55,Yes,No,Closed,No,Incomplete Customer Information,Customer Response,1
T0331,C1432,12-01-2025 16:35,12-01-2025 17:44,12-01-2025 23:38,East,Technical Ops,A135,Afternoon,High,Login/Access,Phone,8,1.15,7.06,No,0,No,No,Resolved,No,No Major Delay,None,5
T0332,C1681,16-01-2025 15:19,16-01-2025 15:35,17-01-2025 05:55,North,Technical Ops,A104,Afternoon,Low,Login/Access,Chat,48,0.27,14.61,No,0,No,No,Closed,No,No Major Delay,None,5
T0333,C1456,01-02-2025 09:20,01-02-2025 10:04,03-02-2025 02:54,East,L1 Support,A125,Morning,Medium,Technical Bug,Email,24,0.74,41.58,Yes,17.58,No,Yes,Resolved,No,Technical Dependency,Escalation,3
T0334,C1966,26-02-2025 15:46,26-02-2025 17:54,27-02-2025 08:37,West,Escalations,A132,Afternoon,Critical,Data Correction,Phone,4,2.14,16.86,Yes,12.86,Yes,Yes,Resolved,No,Agent Capacity Constraint,Resolution,3
T0335,C1838,20-01-2025 09:23,20-01-2025 10:38,21-01-2025 23:14,North,Billing Ops,A119,Morning,Medium,Subscription Change,Chat,24,1.25,37.86,Yes,13.86,No,No,Resolved,No,Agent Capacity Constraint,Resolution,4
T0336,C1333,26-04-2025 13:50,26-04-2025 16:22,27-04-2025 21:38,Central,Technical Ops,A120,Morning,Medium,Login/Access,Email,24,2.54,31.8,Yes,7.8,No,No,Closed,No,Incomplete Customer Information,Customer Response,4
T0337,C1197,24-04-2025 15:47,24-04-2025 16:04,24-04-2025 20:28,Central,Technical Ops,A103,Afternoon,Critical,Data Correction,Phone,4,0.29,4.69,Yes,0.69,No,No,Resolved,No,Incomplete Customer Information,Customer Response,3
T0338,C1424,30-04-2025 16:11,30-04-2025 17:23,05-05-2025 07:24,North,Technical Ops,A102,Afternoon,Low,Technical Bug,Portal,48,1.21,111.22,Yes,63.22,Yes,No,Resolved,No,Technical Dependency,Escalation,3
T0339,C1964,02-02-2025 09:09,02-02-2025 10:01,02-02-2025 23:36,West,Technical Ops,A119,Morning,Critical,Technical Bug,Email,4,0.87,14.45,Yes,10.45,No,No,Resolved,No,Technical Dependency,Escalation,4
T0340,C1252,15-01-2025 12:03,15-01-2025 14:14,17-01-2025 20:13,South,Billing Ops,A133,Morning,Low,Payment Failure,Email,48,2.19,56.18,Yes,8.18,No,Yes,Resolved,No,Technical Dependency,Escalation,2
T0341,C1943,19-01-2025 13:34,19-01-2025 16:33,24-01-2025 03:34,South,L1 Support,A133,Morning,Low,Data Correction,Email,48,2.99,110.01,Yes,62.01,No,No,Resolved,No,Incorrect Routing,Routing,4
T0342,C1968,21-01-2025 16:36,21-01-2025 17:03,22-01-2025 20:19,West,L1 Support,A133,Afternoon,Medium,Technical Bug,Portal,24,0.45,27.73,Yes,3.73,No,No,Closed,No,Technical Dependency,Escalation,4
T0343,C1720,12-02-2025 08:58,12-02-2025 10:58,12-02-2025 12:59,West,Billing Ops,A130,Morning,High,Refund Request,Email,8,2.01,4.02,No,0,No,No,Closed,No,No Major Delay,None,5
T0344,C1379,17-04-2025 15:43,17-04-2025 18:38,18-04-2025 07:07,North,L1 Support,A135,Afternoon,Medium,Account Update,Chat,24,2.92,15.4,No,0,No,No,Resolved,No,No Major Delay,None,5
T0345,C1565,29-01-2025 11:31,29-01-2025 11:53,04-02-2025 00:36,South,Technical Ops,A120,Morning,Low,Technical Bug,Chat,48,0.38,133.09,Yes,85.09,No,Yes,Resolved,No,Agent Capacity Constraint,Resolution,2
T0346,C1330,14-03-2025 11:56,14-03-2025 15:12,15-03-2025 23:27,Central,Escalations,A109,Morning,High,Order Delay,Phone,8,3.27,35.53,Yes,27.53,Yes,No,Closed,No,Incorrect Routing,Routing,3
T0347,C1433,29-01-2025 08:17,29-01-2025 09:58,,East,Billing Ops,A103,Morning,Medium,Subscription Change,Email,24,1.69,,,,No,No,Pending,Yes,Incorrect Routing,Routing,
T0348,C1794,17-03-2025 13:53,17-03-2025 14:30,18-03-2025 01:11,South,Billing Ops,A128,Morning,Low,Subscription Change,Email,48,0.63,11.31,No,0,Yes,No,Closed,No,No Major Delay,None,5
T0349,C1301,18-02-2025 13:56,18-02-2025 14:18,19-02-2025 17:20,North,L1 Support,A104,Morning,Medium,Account Update,Chat,24,0.38,27.41,Yes,3.41,Yes,No,Resolved,No,Delayed Assignment,Assignment,3
T0350,C1012,01-03-2025 14:56,01-03-2025 15:32,02-03-2025 17:13,Central,Account Ops,A101,Afternoon,Low,Account Update,Chat,48,0.6,26.29,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0351,C1906,21-03-2025 15:11,21-03-2025 17:36,21-03-2025 20:39,South,Technical Ops,A127,Afternoon,Medium,Login/Access,Portal,24,2.43,5.47,No,0,No,No,Resolved,No,No Major Delay,None,5
T0352,C1193,28-03-2025 10:03,28-03-2025 14:09,28-03-2025 21:09,West,Escalations,A134,Morning,Medium,Payment Failure,Email,24,4.11,11.11,No,0,Yes,No,Resolved,No,No Major Delay,None,4
T0353,C1752,23-02-2025 13:10,23-02-2025 15:49,24-02-2025 15:26,West,L1 Support,A122,Morning,Medium,Data Correction,Phone,24,2.65,26.28,Yes,2.28,No,No,Resolved,No,Technical Dependency,Escalation,4
T0354,C1567,13-03-2025 09:09,13-03-2025 10:04,15-03-2025 14:09,West,L1 Support,A105,Morning,Low,Order Delay,Email,48,0.93,53,Yes,5,Yes,No,Resolved,No,Approval Dependency,Approval,3
T0355,C1066,11-04-2025 09:21,11-04-2025 10:24,11-04-2025 20:32,South,Account Ops,A109,Morning,High,Payment Failure,Chat,8,1.05,11.19,Yes,3.19,No,No,Closed,No,Incorrect Routing,Routing,4
T0356,C1893,23-03-2025 11:58,23-03-2025 13:53,23-03-2025 16:43,South,Account Ops,A121,Morning,High,Subscription Change,Chat,8,1.92,4.75,No,0,No,No,Closed,No,Agent Capacity Constraint,Resolution,5
T0357,C1212,19-02-2025 16:23,19-02-2025 17:53,20-02-2025 06:45,Central,L1 Support,A105,Afternoon,High,Technical Bug,Chat,8,1.5,14.38,Yes,6.38,No,No,Resolved,No,Technical Dependency,Escalation,3
T0358,C1509,11-01-2025 10:48,11-01-2025 12:14,11-01-2025 19:42,South,Account Ops,A124,Morning,High,Payment Failure,Phone,8,1.44,8.91,Yes,0.91,No,No,Resolved,No,Technical Dependency,Escalation,4
T0359,C1256,07-02-2025 16:32,07-02-2025 16:57,08-02-2025 00:18,South,L1 Support,A123,Afternoon,High,Account Update,Phone,8,0.42,7.78,No,0,No,No,Resolved,No,No Major Delay,None,5
T0360,C1740,02-01-2025 12:18,02-01-2025 14:41,03-01-2025 06:15,East,Account Ops,A135,Morning,High,Order Delay,Email,8,2.39,17.95,Yes,9.95,Yes,No,Resolved,No,High Complexity,Diagnosis,3
T0361,C1009,11-01-2025 13:54,11-01-2025 16:15,12-01-2025 13:11,Central,L1 Support,A130,Morning,Medium,Technical Bug,Phone,24,2.36,23.29,No,0,No,No,Closed,No,Approval Dependency,Approval,5
T0362,C1209,17-03-2025 08:36,17-03-2025 11:22,,East,L1 Support,A135,Morning,Medium,Data Correction,Email,24,2.78,,,,No,No,Pending,Yes,No Major Delay,None,
T0363,C1058,14-01-2025 16:11,14-01-2025 20:41,15-01-2025 14:36,West,Escalations,A120,Afternoon,Low,Login/Access,Email,48,4.51,22.43,No,0,Yes,No,Resolved,No,No Major Delay,None,4
T0364,C1701,03-03-2025 09:24,03-03-2025 12:46,04-03-2025 16:24,East,Escalations,A109,Morning,Medium,Login/Access,Chat,24,3.38,31,Yes,7,Yes,No,Resolved,No,Incorrect Routing,Routing,3
T0365,C1843,14-03-2025 15:29,14-03-2025 15:47,14-03-2025 23:35,South,Account Ops,A134,Afternoon,Medium,Payment Failure,Phone,24,0.31,8.11,No,0,No,No,Resolved,No,No Major Delay,None,5
T0366,C1421,13-01-2025 14:44,13-01-2025 15:49,16-01-2025 04:35,South,Billing Ops,A112,Afternoon,Low,Payment Failure,Email,48,1.09,61.86,Yes,13.86,Yes,No,Closed,No,Incomplete Customer Information,Customer Response,3
T0367,C1139,06-03-2025 08:29,06-03-2025 10:58,07-03-2025 21:59,East,Technical Ops,A111,Morning,Low,Technical Bug,Email,48,2.49,37.5,No,0,No,Yes,Resolved,No,No Major Delay,None,4
T0368,C1731,16-04-2025 12:53,16-04-2025 17:08,17-04-2025 06:38,West,Escalations,A129,Morning,High,Order Delay,Phone,8,4.26,17.75,Yes,9.75,Yes,Yes,Resolved,No,Agent Capacity Constraint,Resolution,1
T0369,C1696,09-02-2025 15:03,09-02-2025 15:16,10-02-2025 02:34,South,L1 Support,A107,Afternoon,Critical,Data Correction,Phone,4,0.22,11.52,Yes,7.52,Yes,Yes,Closed,No,Delayed Assignment,Assignment,2
T0370,C1177,14-01-2025 13:20,14-01-2025 14:03,14-01-2025 19:37,North,Account Ops,A103,Morning,Medium,Payment Failure,Chat,24,0.73,6.29,No,0,No,No,Resolved,No,No Major Delay,None,5
T0371,C1614,17-02-2025 08:04,17-02-2025 08:56,,North,L1 Support,A118,Morning,Critical,Data Correction,Phone,4,0.88,,,,No,No,Pending,Yes,Technical Dependency,Escalation,
T0372,C1918,27-03-2025 15:04,27-03-2025 16:58,28-03-2025 02:35,West,Technical Ops,A121,Afternoon,High,Data Correction,Chat,8,1.9,11.53,Yes,3.53,Yes,No,Resolved,No,Incorrect Routing,Routing,4
T0373,C1424,20-01-2025 14:13,20-01-2025 15:05,21-01-2025 02:13,West,Billing Ops,A132,Afternoon,High,Payment Failure,Chat,8,0.87,12,Yes,4,No,Yes,Resolved,No,Agent Capacity Constraint,Resolution,3
T0374,C1197,28-04-2025 11:51,28-04-2025 14:03,29-04-2025 05:25,North,Billing Ops,A135,Morning,Medium,Refund Request,Email,24,2.21,17.58,No,0,No,Yes,Resolved,No,No Major Delay,None,4
T0375,C1492,11-01-2025 14:46,11-01-2025 15:11,11-01-2025 20:33,South,Account Ops,A114,Afternoon,Critical,Subscription Change,Email,4,0.43,5.79,Yes,1.79,Yes,No,Closed,No,Incorrect Routing,Routing,3
T0376,C1389,15-04-2025 15:01,15-04-2025 15:55,15-04-2025 18:01,West,Billing Ops,A128,Afternoon,Critical,Subscription Change,Phone,4,0.91,3.01,No,0,No,No,Resolved,No,No Major Delay,None,5
T0377,C1072,28-04-2025 11:00,28-04-2025 12:36,,West,Technical Ops,A131,Morning,Medium,Technical Bug,Phone,24,1.6,,,,No,No,Pending,Yes,Technical Dependency,Escalation,
T0378,C1692,07-04-2025 13:32,07-04-2025 15:30,08-04-2025 18:41,North,L1 Support,A117,Morning,Medium,Login/Access,Phone,24,1.98,29.16,Yes,5.16,No,No,Resolved,No,Technical Dependency,Escalation,4
T0379,C1990,09-04-2025 09:41,09-04-2025 10:30,10-04-2025 00:33,South,Technical Ops,A111,Morning,Critical,Data Correction,Email,4,0.83,14.87,Yes,10.87,No,No,Resolved,No,Technical Dependency,Escalation,3
